ヤボッタイ
クサイ
モノスサマジイ
ノロイ
バカバカシイ
ズルイ
コスイ
キゼワシイ
アラッポイ
クスイ
オオイ
オッカナイ
アカイ
ヨワヨワシイ
タノモシイ
ドロクサイ
ヒトナツコイ
アヤシイ
コムズカシイ
カンバシイ
カイガイシイ
マッシロイ
テアライ
ガタイ
オモイガケナイ
トボシイ
アライ
ヌキガタイ
アオグロイ
ワスレガタイ
イカツイ
アヤシイ
ハナバナシイ
マダルッコイ
アタタカイ
イソクサイ
アイナイ
ミヅライ
コトゴトシイ
ウルサイ
レイレイシイ
マドオイ
ホソナガイ
ハレガマシイ
ツユケイ
タノシイ
ハナバナシイ
ハシコイ
クチヤカマシイ
スクナイ
カクイ
ウヤウヤシイ
カンガイブカイ
オトコラシイ
ネバッコイ
メアタラシイ
ソロバンダカイ
フルイ
キョウミブカイ
ショザイナイ
オボシイ
アタラシイ
ココロヨイ
ホコラシイ
イサマシイ
メボシイ
メンドウクサイ
ホネッポイ
ワロイ
ミメヨイ
ヤカマシイ
アブラッコイ
ケヂカイ
カトカドシイ
ネムタイ
ハラグロイ
ヤワラカイ
ハナバナシイ
キゼワシイ
アジワイブカイ
オシツケガマシイ
メバヤイ
ミメヨイ
カシコイ
アマネイ
シガナイ
ウツクシイ
オモクルシイ
ヤサイ
コゲクサイ
セマイ
ニガイ
ニギニギシイ
モノガナシイ
ウスギタナイ
ダイジナイ
ヤスイ
サビシイ
サミシイ
シゲイ
ヤボクサイ
ココロボソイ
ヤルセナイ
イトケナイ
ヨワヨワシイ
オモハユイ
キヅカワシイ
ジジムサイ
キョカナイ
カンバシイ
カグワシイ
モノグルワシイ
トゲトゲシイ
コゲクサイ
アオイ
モノタラナイ
イイ
サワガシイ
ケムタイ
イトケナイ
ハナハズカシイ
ジマンタラシイ
シメッポイ
ミニクイ
セツナイ
ワルガシコイ
アザトイ
クスグッタイ
クヤシイ
ノブトイ
フガイナイ
ナレナレシイ
ナルイ
ジョサイナイ
コワイ
ヨギナイ
クサブカイ
キツイ
コマゴマシイ
イタイ
マズシイ
モノサビシイ
テキビシイ
ワビシイ
コウルサイ
ココロモトナイ
ウイウイシイ
ミズミズシイ
ナマアタタカイ
オソレオオイ
コダカイ
ヒトシイ
ウサンイ
カソケイ
アサマイ
オモワシイ
ケワシイ
ヨワッチイ
ドスグロイ
コスカライ
オオシイ
ママシイ
ココロウイ
テバシコイ
ギョウギョウシイ
ソラゾラシイ
フカイ
リリシイ
エライ
スキズキイ
コノマシイ
ツラニクイ
トモイ
ウトウトシイ
クサブカイ
ココロボソイ
サトイ
イソガシイ
ナダカイ
タクマシイ
ギリガタイ
ハテシナイ
イタイタシイ
ヨンドコロナイ
ゾクッポイ
アッケナイ
メンドウクサイ
クライ
キゼワシイ
ワザトラシイ
ムズガユイ
ツキヅキイ
フクブクシイ
オシツケガマシイ
ブアツイ
カロガロシイ
イチジルシイ
モノミダカイ
サトイ
ウスラサムイ
ナツカシイ
アツイ
マガマガシイ
ハヤイ
モノガナシイ
オソレオオイ
シロイ
カガヤカシイ
クライ
タエガタイ
ネバリヅヨイ
アサマイ
