シーディープレーヤー
ティーシャツ
ティーバック
めいはく
あそこ
あっさり
あっというまに
あの
あの
あのひと
あのかた
あべこべ
あやふや
あら
あれ
あんな
いやいや
いかにも
いけない
いざこざ
いそいそ
いらっしゃい
いらっしゃいませ
いらっしゃる
うずうず
うっかり
うとうと
うねり
うろうろ
うん
うんこ
うんざり
うんち
ええ
えっと
おい
おしっこ
おっさん
おっぱい
おでん
オドオド
おなら
おまけに
おめでとうございます
おや
おろおろ
おにぎり
おばけ
おかし
おねがいします
おねがいいたします
おかえりなさい
おきゃくさま
おやすみなさい
おかね
おにいさん
おこのみやき
おしぼり
おまいり
おさん
おしまい
おつかい
おねえさん
おこさま
おじぎ
おじゃまします
おまもり
おてあげ
おてもり
おてあらい
おてつだいさん
おまわりさん
おじょうさん
おせじ
おせわになる
おさきに
おまえ
おじいさん
おばあさん
おはようございます
おふくろ
おだいじに
おたく
おたんじょうびおめでとうございます
おしらせ
おちゃ
おしゃべり
おてんき
おみやげ
おでこ
おつかれさま
おとうさん
おなか
おかえし
おかあさん
おはなしちゅう
おしゃれ
かしこまりました
かしら
カチカチ
カッと
かな
かなわない
かもしれない
かもしれません
から
からり
かよわい
がさがさ
ガタガタ
がっかり
がっくり
がっしり
がっちり
がぶがぶ
がやがや
きちっと
きちんと
きっちり
きっと
きっぱり
きつい
キョロキョロ
キラキラ
ぎこちない
ぎざぎざ
ぎっしり
ぎゅうぎゅう
ぎゅっと
ぎょっと
ギラギラ
ぎりぎり
くしゃくしゃ
くしゃみ
くすぐったい
くすぐる
くたくた
くたばる
くたびれる
くっきり
くっつく
くっつける
くどくど
くまなく
くよくよ
くらべ
くるくる
ぐずぐず
ぐっすり
ぐったり
グラグラ
ぐるぐる
けじめ
けど
こう
こういう
こうすると
こうすれば
こそ
こそこそ
こだわる
こちら
こっそり
コツコツ
ことがある
ことができる
ことごとく
ことになる
ことによって
こんにちわ
このため
このほか
このあいだ
このごろ
このへん
これから
これで
これまで
これら
コロコロ
こんな
こんなに
ゴミばこ
ゴロゴロ
ごくろうさま
ごちそうさまでした
さあ
さえ
させる
さっき
さっさ
さっと
さっぱり
さらさら
さん
ざっと
ザラザラ
ざわざわ
しか
しきりに
しくじる
しつこい
しとしと
しばしば
しまった
しゃがむ
しゃっくり
しゃぶしゃぶ
しょっちゅう
しょんぼり
しんどい
じっくり
じっと
じめじめ
じゃあ
じゃがいも
じゃぶじゃぶ
じゃんけん
じらす
すっかり
すっきり
すっと
すべき
すやすや
スラスラ
すると
すれすれ
ズキズキ
ずっと
ずばり
ずらす
ずるずる
ずれ
ずれる
せかせか
せがむ
せず
せずに
せっかち
せめて
そいつ
そう
そうすると
そうだ
そこ
そして
そそっかしい
そちら
そっくり
そっと
その
そのうえ
そのほか
そのうち
そもそも
そよかぜ
それ
それから
それで
それとも
それに
それほど
それら
そわそわ
そんな
ぞくぞく
ぞろぞろ
ぞんざい
たった
たっぷり
たびに
たらたら
だから
だけ
だけでなく
だけど
だったら
だぶだぶ
だらけ
だらしない
だらだら
だるい
ちぐはぐ
ちっとも
ちゃん
ちゃんと
ちょくちょく
ちょっぴり
ちらちら
ちらっと
ちんちん
チンピラ
っぱなし
つい
ついでに
つくづく
つつ
つまらない
つるつる
てくてく
てこずる
てっきり
である
でかい
でしょう
ですから
では
でも
と
というもの
とか
ところが
として
としても
とすると
とても
とろ
とんだ
とんでもない
とんとん
といえば
どう
どういう
どうしたの
どうせ
どうにか
どうも
どうやら
どういたしまして
ドキッと
ドキドキ
どしどし
ドタバタ
どちらも
どっと
どなたでも
どのよう
どのくらい
どれ
どれでも
どろどろ
どんどん
どんな
どんなに
なおざり
なぜなら
なぜならば
なら
なんか
において
における
にこやか
にとって
にも
ニヤニヤ
によって
によってことなる
による
によると
にくわえて
にかんして
について
にたいして
にたいする
ヌルヌル
ねた
のたびに
ので
のに
のみ
のろのろ
のんびり
はい
はっきり
はびこる
ばかり
バテる
バラバラ
ばりばり
ばれる
パッと
ひしひし
ヒソヒソ
ひたすら
ひっそり
ひび
ひょっとすると
ひらひら
ビクビク
びしょびしょ
びっしょり
びっしり
ビリビリ
